Batting,,R,B,M,4s,6s,SR
Ben White,not out,5,20,24,0,0,25
Mohammad Rizwan †,c Adair b McCarthy,17,16,30,2,0,106.25
Saim Ayub,c †Tucker b Adair,17,17,19,2,1,100
Babar Azam (c),not out,32,34,79,2,0,94.11
Fakhar Zaman,c sub (GR Adair) b Campher,5,9,15,0,0,55.55
Usman Khan,c Tector b McCarthy,2,3,4,0,0,66.66
Shadab Khan,c †Tucker b McCarthy,0,2,3,0,0,0
Imad Wasim,c Tector b Campher,4,6,5,1,0,66.66
Abbas Afridi,c sub (GR Adair) b White,17,21,32,1,1,80.95
Shaheen Shah Afridi,not out,13,5,23,0,2,260
George Munsey,c Ellis b Maxwell,35,23,40,2,3,152.17
Michael Jones,b Agar,2,3,2,0,0,66.66
Brandon McMullen,c Starc b Zampa,60,34,44,2,6,176.47
Richie Berrington (c),not out,42,31,48,1,2,135.48
Matthew Cross †,c Agar b Maxwell,18,11,13,1,1,163.63
Michael Leask,c Starc b Ellis,5,8,9,0,0,62.5
Chris Greaves,not out,9,10,15,0,0,90
Travis Head,c Jones b Sharif,68,49,68,5,4,138.77
David Warner,c Berrington b Wheal,1,4,4,0,0,25
Mitchell Marsh (c),c sub (C Tear) b Sharif,8,9,17,1,0,88.88
Glenn Maxwell,b Watt,11,8,13,0,1,137.5
Marcus Stoinis,b Watt,59,29,35,9,2,203.44
Tim David,not out,24,14,19,2,1,171.42
Matthew Wade †,not out,4,5,13,0,0,80
Phil Salt,c †Green b Wiese,11,8,11,2,0,137.5
Jos Buttler (c)†,b Trumpelmann,0,4,6,0,0,0
Jonny Bairstow,c †Green b Scholtz,31,18,27,3,2,172.22
Harry Brook,not out,47,20,37,4,2,235
Moeen Ali,c Davin b Trumpelmann,16,6,10,0,2,266.66
Liam Livingstone,run out (Trumpelmann/†Green),13,4,4,0,2,325
Michael van Lingen,c Brook b Jordan,33,29,41,1,3,113.79
Nikolaas Davin,retired out,18,16,26,1,1,112.5
David Wiese,c Brook b Archer,27,12,17,2,2,225
Gerhard Erasmus (c),not out,1,3,5,0,0,33.33
JJ Smit,not out,0,1,2,0,0,0
Ronak Patel,c †Conway b Santner,2,20,36,0,0,10
Simon Ssesazi †,lbw b Boult,0,1,2,0,0,0
Robinson Obuya,b Boult,0,1,1,0,0,0
Alpesh Ramjani,lbw b Southee,0,6,15,0,0,0
Kenneth Waiswa,b Ferguson,11,18,22,2,0,61.11
Riazat Ali Shah,c †Conway b Ravindra,2,13,21,0,0,15.38
Dinesh Nakrani,c Phillips b Ravindra,4,13,24,0,0,30.76
Brian Masaba (c),not out,3,20,33,0,0,15
Fred Achelam,lbw b Southee,9,13,16,1,0,69.23
Juma Miyagi,lbw b Southee,0,1,2,0,0,0
Cosmas Kyewuta,c Mitchell b Santner,1,6,4,0,0,16.66
Finn Allen,c Achelam b Riazat Ali Shah,9,17,24,1,0,52.94
Devon Conway †,not out,22,15,31,4,0,146.66
Rachin Ravindra,not out,1,1,6,0,0,100
Reeza Hendricks,c & b Airee,43,49,64,5,1,87.75
Quinton de Kock †,c & b Airee,10,11,14,1,0,90.9
Aiden Markram (c),b Bhurtel,15,22,27,2,0,68.18
Heinrich Klaasen,c Karan KC b Bhurtel,3,5,6,0,0,60
David Miller,c Lamichhane b Airee,7,10,18,0,0,70
Tristan Stubbs,not out,27,18,18,2,1,150
Marco Jansen,c Sah b Bhurtel,1,4,9,0,0,25
Kagiso Rabada,st †Aasif Sheikh b Bhurtel,0,1,1,0,0,0
Kushal Bhurtel,b Shamsi,13,21,31,1,1,61.9
Aasif Sheikh †,b Shamsi,42,49,77,4,1,85.71
Rohit Paudel (c),b Shamsi,0,2,1,0,0,0
Anil Sah,c Jansen b Markram,27,24,25,3,1,112.5
Dipendra Singh Airee,c †de Kock b Shamsi,6,11,15,0,0,54.54
Kushal Malla,b Nortje,1,3,4,0,0,33.33
Gulsan Jha,run out (†de Kock/Klaasen),6,6,13,1,0,100
Sompal Kami,not out,8,4,9,0,1,200
Tony Ura,b Naveen-ul-Haq,11,18,31,1,0,61.11
Assad Vala (c),run out (Fazalhaq Farooqi/†Rahmanullah Gurbaz),3,2,9,0,0,150
Lega Siaka,c †Rahmanullah Gurbaz b Fazalhaq Farooqi,0,1,1,0,0,0
Sese Bau,c †Rahmanullah Gurbaz b Fazalhaq Farooqi,0,1,1,0,0,0
Hiri Hiri,b Naveen-ul-Haq,1,3,4,0,0,33.33
Chad Soper,run out (Noor Ahmad/Rashid Khan),9,26,27,0,0,34.61
Kiplin Doriga †,lbw b Noor Ahmad,27,32,46,2,0,84.37
Norman Vanua,run out (Rashid Khan),0,7,10,0,0,0
Alei Nao,c Rashid Khan b Fazalhaq Farooqi,13,19,25,2,0,68.42
John Kariko,not out,4,7,10,1,0,57.14
Semo Kamea,run out (†Rahmanullah Gurbaz),2,3,7,0,0,66.66
Rahmanullah Gurbaz †,b Nao,11,7,15,1,1,157.14
Ibrahim Zadran,b Kamea,0,7,9,0,0,0
Gulbadin Naib,not out,49,36,60,4,2,136.11
Azmatullah Omarzai,b Vanua,13,18,26,1,0,72.22
Mohammad Nabi,not out,16,23,27,1,0,69.56
Pratik Athavale †,c Salt b Archer,5,3,6,1,0,166.66
Kashyap Prajapati,c Livingstone b Wood,9,16,28,0,1,56.25
Aqib Ilyas (c),c Jacks b Archer,8,10,9,1,0,80
Zeeshan Maqsood,c & b Wood,1,5,7,0,0,20
Khalid Kail,st †Buttler b Rashid,1,3,6,0,0,33.33
Ayaan Khan,b Wood,1,5,11,0,0,20
Shoaib Khan,c †Buttler b Archer,11,23,31,1,0,47.82
Mehran Khan,c Ali b Rashid,0,2,2,0,0,0
Fayyaz Butt,b Rashid,2,7,7,0,0,28.57
